|name           |ra        |dec      |period|pdot     |photon_index|cutoff    |plec1_pref|plec1_scaling_energy|plec1_cutoff|
|PSR J1410-6132 |14 10 22.1|-61 31 59| 50.05|3.180e-14|       1.564|4.2620e+03|2.8700e-13|              6601.0|      4262.0|
|PSR J2240+5832 |22 40 43.0|+58 32 38|139.94|1.520e-14|       1.455|3.4260e+03|4.2800e-13|              3392.0|      3426.0|
|PSR J1531-5610 |15 31 27.9|-56 10 55| 84.21|1.380e-14|       0.000|1.1700e+03|8.8800e-13|              1000.0|      1170.0|
|PSR J0610-2100 |06 10 13.6|-21 00 28|  3.86|1.230e-20|       1.235|1.5830e+03|8.9700e-13|              2471.0|      1583.0|
|PSR J1648-4611 |16 48 22.0|-46 11 16|164.96|2.370e-14|       1.585|5.8290e+03|9.5500e-13|              4302.0|      5829.0|
|PSR J1741+1351 |17 41 31.2|+13 51 44|  3.75|3.020e-20|       0.000|1.1790e+03|1.0860e-12|              1000.0|      1179.0|
|PSR J1024-0719 |10 24 38.7|-07 19 20|  5.16|1.850e-20|       0.568|1.2340e+03|1.1380e-12|              2014.0|      1234.0|
|PSR J1823-3021A|18 23 40.5|-30 21 40|  5.44|3.380e-18|       1.620|2.5390e+03|1.5400e-12|              1505.0|      2539.0|
|PSR J1125-5825 |11 25 44.4|-58 25 17|  3.10|6.090e-20|       1.730|4.8100e+03|1.7660e-12|              1000.0|      4810.0|
|PSR J1747-4036 |17 47 48.7|-40 36 55|  1.65|1.330e-20|       1.913|5.4320e+03|1.8480e-12|              1000.0|      5432.0|
|PSR J1446-4701 |14 46 35.7|-47 01 27|  2.19|9.850e-21|       1.366|2.9870e+03|1.8750e-12|              1000.0|      2987.0|
|PSR J2047+1053 |20 47 10.3|+10 53 08|  4.29|2.100e-20|       1.468|1.9730e+03|2.0800e-12|              1000.0|      1973.0|
|PSR J1939+2134 |19 39 38.6|+21 34 59|  1.56|1.050e-19|       1.843|3.0190e+03|2.1750e-12|              1000.0|      3019.0|
|PSR J1600-3053 |16 00 51.9|-30 53 49|  3.60|9.500e-21|       0.402|2.0490e+03|2.2320e-12|              3805.0|      2049.0|
|PSR J1713+0747 |17 13 49.5|+07 47 37|  4.57|8.530e-21|       1.572|2.6670e+03|2.2970e-12|              1128.0|      2667.0|
|PSR J1016-5857 |10 16 21.2|-58 57 12|107.39|8.060e-14|       1.783|5.8390e+03|2.3330e-12|              2265.0|      5839.0|
|PSR J2215+5135 |22 15 32.7|+51 35 36|  2.61|2.340e-20|       1.323|3.3590e+03|2.6980e-12|              1000.0|      3359.0|
|PSR J1858-2216 |18 58 17.9|-22 16 56|  2.38|3.870e-21|       0.836|1.7000e+03|2.7110e-12|              1000.0|      1700.0|
|PSR J2051-0827 |20 51 07.5|-08 27 38|  4.51|1.280e-20|       0.500|1.2570e+03|2.8600e-12|              1000.0|      1257.0|
|PSR J0751+1807 |07 51 09.1|+18 07 39|  3.48|7.780e-21|       1.141|2.5630e+03|3.0380e-12|              1151.0|      2563.0|
|PSR J0102+4839 |01 02 50.7|+48 39 43|  2.96|1.170e-20|       1.401|3.1600e+03|3.2280e-12|              1000.0|      3160.0|
|PSR J1124-3653 |11 24 01.1|-36 53 19|  2.41|5.750e-21|       1.089|2.5000e+03|3.2750e-12|              1000.0|      2500.0|
|PSR J0023+0923 |00 23 16.9|+09 23 24|  3.05|1.090e-20|       1.405|1.4080e+03|3.5110e-12|              1000.0|      1408.0|
|PSR J1112-6103 |11 12 14.8|-61 03 31| 64.97|3.150e-14|       1.557|5.8890e+03|3.5550e-12|              1000.0|      5889.0|
|PSR J0340+4130 |03 40 23.3|+41 30 45|  3.30|5.900e-21|       1.078|2.6540e+03|3.8450e-12|              1316.0|      2654.0|
|PSR J0101-6422 |01 01 11.1|-64 22 30|  2.57|4.800e-21|       0.693|1.5230e+03|3.9370e-12|              1139.0|      1523.0|
|PSR J2017+0603 |20 17 22.7|+06 03 05|  2.90|8.300e-21|       1.039|3.3880e+03|3.9720e-12|              1608.0|      3388.0|
|PSR J0106+4855 |01 06 25.1|+48 55 52| 83.16|4.280e-16|       1.223|2.7450e+03|5.0240e-12|              1000.0|      2745.0|
|PSR J1846+0919 |18 46 25.9|+09 19 46|225.55|9.930e-15|       0.735|2.2350e+03|5.0470e-12|              1316.0|      2235.0|
|PSR J1810+1744 |18 10 37.3|+17 44 37|  1.66|4.630e-21|       1.936|3.1610e+03|5.2130e-12|              1000.0|      3161.0|
|PSR J1959+2048 |19 59 36.8|+20 48 15|  1.61|1.680e-20|       1.356|1.4330e+03|6.1780e-12|              1150.0|      1433.0|
|PSR J1614-2230 |16 14 36.5|-22 30 31|  3.15|9.620e-21|       0.961|1.8630e+03|6.2950e-12|              1372.0|      1863.0|
|PSR J0631+1036 |06 31 27.8|+10 36 59|287.80|1.050e-13|       1.837|5.5150e+03|6.6160e-12|              1164.0|      5515.0|
|PSR J2043+1711 |20 43 20.9|+17 11 29|  2.38|5.700e-21|       1.430|3.3100e+03|6.8350e-12|               958.3|      3310.0|
|PSR J0613-0200 |06 13 44.0|-02 00 47|  3.06|9.590e-21|       1.224|2.4590e+03|7.7860e-12|              1079.0|      2459.0|
|PSR J1514-4946 |15 14 19.1|-49 46 16|  3.59|1.870e-20|       1.528|5.3290e+03|8.2050e-12|              1000.0|      5329.0|
|PSR J0205+6449 |02 05 37.9|+64 49 43| 65.73|1.900e-13|       1.834|1.6140e+03|8.2550e-12|              1479.0|      1614.0|
|PSR J1418-6058 |14 18 42.8|-60 58 00|110.58|1.690e-13|       1.765|5.4890e+03|8.2940e-12|              2978.0|      5489.0|
|PSR J2043+2740 |20 43 43.5|+27 40 56| 96.13|1.230e-15|       1.396|1.2050e+03|8.5830e-12|               669.2|      1205.0|
|PSR J0034-0534 |00 34 21.8|-05 34 37|  1.88|4.980e-21|       1.436|1.8310e+03|8.6910e-12|               755.7|      1831.0|
|PSR J2111+4606 |21 11 24.1|+46 06 31|157.83|1.430e-13|       1.689|4.8740e+03|8.7340e-12|              1000.0|      4874.0|
|PSR J2030+3641 |20 30 00.3|+36 41 27|200.13|6.510e-15|       0.672|1.4850e+03|8.8110e-12|              1842.0|      1485.0|
|PSR J2241-5236 |22 41 42.0|-52 36 36|  2.19|8.700e-21|       1.307|3.0480e+03|9.0480e-12|               924.8|      3048.0|
|PSR J1902-5105 |19 02 02.9|-51 05 57|  1.74|9.000e-21|       1.735|3.4190e+03|9.3800e-12|               697.0|      3419.0|
|PSR J2302+4442 |23 02 47.0|+44 42 22|  5.19|1.330e-20|       0.937|2.1520e+03|9.4860e-12|              1157.0|      2152.0|
|PSR J1958+2846 |19 58 40.0|+28 45 53|290.40|2.120e-13|       1.352|1.9960e+03|1.0730e-11|              2198.0|      1996.0|
|PSR J2214+3000 |22 14 38.9|+30 00 38|  3.12|1.500e-20|       1.158|2.2350e+03|1.1120e-11|               914.9|      2235.0|
|PSR J2139+4716 |21 39 55.9|+47 16 13|282.85|1.800e-15|       1.251|1.2930e+03|1.1610e-11|              1000.0|      1293.0|
|PSR J2032+4127 |20 32 13.1|+41 27 24|143.25|2.040e-14|       1.135|3.2350e+03|1.1700e-11|              1812.0|      3235.0|
|PSR J1509-5850 |15 09 27.1|-58 50 56| 88.92|9.170e-15|       1.901|4.5870e+03|1.2330e-11|              1457.0|      4587.0|
|PSR J0633+0632 |06 33 44.1|+06 32 30|297.40|7.960e-14|       1.369|2.7120e+03|1.2430e-11|              1691.0|      2712.0|
|PSR J2124-3358 |21 24 43.8|-33 58 45|  4.93|2.060e-20|       0.779|1.6280e+03|1.3420e-11|              1083.0|      1628.0|
|PSR J1420-6048 |14 20 08.2|-60 48 17| 68.20|8.290e-14|       1.511|1.6340e+03|1.3910e-11|              2749.0|      1634.0|
|PSR J0742-2822 |07 42 49.0|-28 22 44|166.77|1.680e-14|       1.743|1.5780e+03|1.6040e-11|               563.5|      1578.0|
|PSR J1744-1134 |17 44 29.4|-11 34 55|  4.07|8.920e-21|       1.262|1.2050e+03|1.6040e-11|              1052.0|      1205.0|
|PSR J1835-1106 |18 35 18.5|-11 06 13|165.92|2.060e-14|       0.001|9.3500e+02|1.6100e-11|              1000.0|       935.0|
|PSR J1357-6429 |13 57 02.4|-64 29 30|166.17|3.570e-13|       1.803|9.0820e+02|1.6460e-11|               949.6|       908.2|
|PSR J1119-6127 |11 19 14.3|-61 27 49|408.73|4.030e-12|       1.812|3.2030e+03|1.8460e-11|               947.0|      3203.0|
|PSR J0437-4715 |04 37 15.9|-47 15 09|  5.76|5.730e-20|       1.382|1.1180e+03|1.8690e-11|               582.8|      1118.0|
|PSR J0218+4232 |02 18 06.4|+42 32 18|  2.32|7.740e-20|       1.981|4.6370e+03|1.8780e-11|               679.9|      4637.0|
|PSR J1413-6205 |14 13 30.2|-62 05 37|109.74|2.740e-14|       1.514|4.0740e+03|1.9460e-11|              1429.0|      4074.0|
|PSR J1801-2451 |18 01 00.0|-24 52 07|124.95|1.270e-13|       1.490|2.7800e+03|2.0110e-11|              1000.0|      2780.0|
|PSR J1718-3825 |17 18 13.6|-38 25 18| 74.67|1.320e-14|       1.512|1.3630e+03|2.0370e-11|              1509.0|      1363.0|
|PSR J2028+3332 |20 28 19.9|+33 32 04|176.71|4.860e-15|       1.167|1.9250e+03|2.0520e-11|              1000.0|      1925.0|
|PSR J2030+4415 |20 30 51.4|+44 15 39|227.07|6.490e-15|       1.599|1.6680e+03|2.0640e-11|              1000.0|      1668.0|
|PSR J1803-2149 |18 03 09.6|-21 49 14|106.33|1.950e-14|       1.602|3.5820e+03|2.1290e-11|              1000.0|      3582.0|
|PSR J1105-6107 |11 05 26.2|-61 07 51| 63.20|1.580e-14|       1.466|1.3030e+03|2.2080e-11|              1000.0|      1303.0|
|PSR J1023-5746 |10 23 02.6|-57 46 11|111.48|3.820e-13|       1.709|2.4640e+03|2.3150e-11|              1633.0|      2464.0|
|PSR J1954+2836 |19 54 19.2|+28 36 05| 92.71|2.120e-14|       1.602|3.2840e+03|2.3680e-11|              1035.0|      3284.0|
|PSR J0622+3749 |06 22 10.6|+37 49 10|333.21|2.540e-14|       0.616|5.6900e+02|2.3770e-11|              1000.0|       569.0|
|PSR J0614-3329 |06 14 10.3|-33 29 54|  3.15|1.780e-20|       1.299|3.8910e+03|2.7280e-11|               852.1|      3891.0|
|PSR J1747-2958 |17 47 15.9|-29 58 01| 98.83|6.130e-14|       1.631|1.8990e+03|2.8150e-11|              1732.0|      1899.0|
|PSR J0248+6021 |02 48 18.6|+60 21 35|217.11|5.500e-14|       1.783|1.5590e+03|2.8780e-11|               749.3|      1559.0|
|PSR J1135-6055 |11 35 08.2|-60 55 35|114.49|7.840e-14|       1.699|2.4010e+03|2.8870e-11|               635.9|      2401.0|
|PSR J1658-5324 |16 58 39.3|-53 24 07|  2.44|1.100e-20|       1.768|1.3710e+03|3.0600e-11|               544.3|      1371.0|
|PSR J1746-3239 |17 46 55.0|-32 39 37|199.54|6.560e-15|       1.375|1.4800e+03|3.0840e-11|              1000.0|      1480.0|
|PSR J1957+5033 |19 57 46.8|+50 33 42|374.81|6.830e-15|       1.289|1.0460e+03|3.1080e-11|               581.2|      1046.0|
|PSR J1833-1034 |18 33 33.6|-10 34 08| 61.89|2.020e-13|       0.866|9.2060e+02|3.2040e-11|              1532.0|       920.6|
|PSR J2238+5903 |22 38 28.2|+59 03 45|162.74|9.700e-14|       1.575|2.0800e+03|3.2610e-11|               739.9|      2080.0|
|PSR J1231-1411 |12 31 11.3|-14 11 44|  3.68|2.120e-20|       1.241|2.6730e+03|3.2980e-11|               864.1|      2673.0|
|PSR J1124-5916 |11 24 39.1|-59 16 20|135.53|7.500e-13|       1.755|2.1420e+03|3.3430e-11|               698.2|      2142.0|
|PSR J0030+0451 |00 30 27.4|+04 51 40|  4.87|1.020e-20|       1.211|1.8200e+03|3.4980e-11|               699.8|      1820.0|
|PSR J1429-5911 |14 29 58.5|-59 11 37|115.84|3.050e-14|       1.617|2.1800e+03|3.8150e-11|               758.4|      2180.0|
|PSR J1838-0537 |18 38 56.0|-05 37 09|145.71|4.650e-13|       1.640|4.1430e+03|4.0100e-11|              1000.0|      4143.0|
|PSR J1028-5819 |10 28 27.9|-58 19 06| 91.40|1.610e-14|       1.739|4.5900e+03|4.2600e-11|              1089.0|      4590.0|
|PSR J1620-4927 |16 20 41.6|-49 27 36|171.93|1.050e-14|       1.297|2.5040e+03|4.4710e-11|              1000.0|      2504.0|
|PSR J1048-5832 |10 48 12.2|-58 32 06|123.70|9.570e-14|       1.572|2.9610e+03|4.7270e-11|              1040.0|      2961.0|
|PSR J2055+2539 |20 55 48.9|+25 40 00|319.56|4.110e-15|       0.972|1.1150e+03|4.7920e-11|               684.0|      1115.0|
|PSR J0734-1559 |07 34 45.6|-15 59 17|155.14|1.250e-14|       2.038|3.2470e+03|5.0950e-11|               482.7|      3247.0|
|PSR J1732-3131 |17 32 33.5|-31 31 22|196.54|2.800e-14|       1.017|1.8790e+03|5.2200e-11|              1303.0|      1879.0|
|PSR J1513-5908 |15 13 55.6|-59 08 09|151.54|1.530e-12|       1.569|2.2660e+02|6.2290e-11|              1000.0|       226.6|
|PSR J1952+3252 |19 52 58.1|+32 52 41| 39.53|5.830e-15|       1.510|2.4940e+03|6.4410e-11|               724.4|      2494.0|
|PSR J1702-4128 |17 02 52.5|-41 28 48|182.15|5.230e-14|       1.070|7.5580e+02|6.4580e-11|              1000.0|       755.8|
|PSR J1730-3350 |17 30 32.4|-33 50 27|139.49|8.480e-14|       1.450|1.2300e+03|7.2860e-11|               586.4|      1230.0|
|PSR J1459-6053 |14 59 30.2|-60 53 20|103.15|2.530e-14|       1.969|2.9150e+03|9.1870e-11|               557.4|      2915.0|
|PSR J1044-5737 |10 44 32.9|-57 37 20|139.03|5.460e-14|       1.824|2.8140e+03|9.3410e-11|               614.1|      2814.0|
|PSR J0908-4913 |09 08 35.5|-49 13 07|106.77|1.510e-14|       1.004|5.4810e+02|9.4730e-11|               638.7|       548.1|
|PSR J1907+0602 |19 07 54.7|+06 02 17|106.64|8.670e-14|       1.615|2.8940e+03|1.0030e-10|               770.1|      2894.0|
|PSR J0357+3205 |03 57 52.2|+32 05 24|444.10|1.310e-14|       0.988|8.1700e+02|1.0080e-10|               549.2|       817.0|
|PSR J0659+1414 |06 59 48.2|+14 14 21|384.89|5.500e-14|       1.718|3.9880e+02|1.0630e-10|               401.1|       398.8|
|PSR J1826-1256 |18 26 08.5|-12 56 34|110.23|1.210e-13|       1.572|2.1900e+03|1.1580e-10|              1009.0|      2190.0|
|PSR J0007+7303 |00 07 01.6|+73 03 08|315.89|3.570e-13|       1.397|4.6620e+03|1.1820e-10|               727.4|      4662.0|
|PSR J1741-2054 |17 41 57.2|-20 54 13|413.70|1.700e-14|       1.093|9.1790e+02|1.3430e-10|               659.6|       917.9|
|PSR J1809-2332 |18 09 50.2|-23 32 03|146.79|3.440e-14|       1.622|3.3540e+03|1.4000e-10|               876.6|      3354.0|
|PSR J2021+3651 |20 21 05.8|+36 51 04|103.74|9.560e-14|       1.663|2.9590e+03|1.6170e-10|               857.7|      2959.0|
|PSR J2229+6114 |22 29 05.7|+61 14 04| 51.64|7.790e-14|       1.842|4.2570e+03|1.6590e-10|               534.7|      4257.0|
|PSR J1813-1246 |18 13 23.7|-12 46 01| 48.07|1.760e-14|       1.887|2.5810e+03|1.7300e-10|               582.7|      2581.0|
|PSR J1057-5226 |10 57 58.8|-52 26 56|197.11|5.830e-15|       1.051|1.3620e+03|2.2720e-10|               652.6|      1362.0|
|PSR J1836+5925 |18 36 13.7|+59 25 30|173.26|1.500e-15|       1.240|2.0430e+03|4.2570e-10|               550.5|      2043.0|
|PSR J2021+4026 |20 21 29.7|+40 26 55|265.32|5.420e-14|       1.652|2.5710e+03|5.4820e-10|               638.7|      2571.0|
|PSR J1709-4429 |17 09 40.6|-44 27 55|102.50|9.280e-14|       1.640|4.1870e+03|6.4830e-10|               607.6|      4187.0|
|PSR J0534+2200 |05 34 32.0|+22 00 52| 33.63|4.200e-13|       1.908|4.2430e+03|1.0440e-09|               485.0|      4243.0|
|PSR J0633+1746 |06 33 54.3|+17 46 15|237.10|1.100e-14|       1.231|2.2210e+03|3.0190e-09|               510.8|      2221.0|
|PSR J0835-4510 |08 35 20.6|-45 10 35| 89.36|1.250e-13|       1.544|3.0290e+03|8.3650e-09|               433.3|      3029.0|
|PSR J0729-1448 |07 29 16.2|-14 48 41|251.69|1.140e-13|            |          |          |                    |            |
|PSR J1019-5749 |10 19 52.2|-57 49 06|162.51|2.010e-14|            |          |          |                    |            |
|PSR J0940-5428 |09 40 58.2|-54 28 40| 87.56|3.280e-14|            |          |          |                    |            |
