# Helium
# Revised October 2017 by J.J. Beatty (Ohio State Univ.), J. Matthews
# (Louisiana State Univ.), and S.P. Wakely (Univ. of Chicago).
#
# M. Tanabashi et al. (Particle Data Group),
# Phys. Rev. D 98, 030001 (2018) and 2019 update.
#
#@article{patrignani2017helium,
#  title={30.1. primary spectra},
#  author={Patrignani, C and others},
#  journal={URL http://pdg. lbl. gov/2017/reviews/rpp2017-rev-cosmic-rays. pdf}
#}
#
# E / GeV, Flux / m^{-2} sr^{-1} s^{-1} (GeV^{-1})
5.181e-01,4.358e+01
6.154e-01,5.472e+01
7.459e-01,7.063e+01
8.986e-01,7.309e+01
1.079e+00,7.215e+01
1.302e+00,6.607e+01
1.553e+00,5.268e+01
1.842e+00,4.763e+01
2.186e+00,3.892e+01
2.701e+00,3.304e+01
3.155e+00,2.876e+01
3.836e+00,2.125e+01
4.471e+00,1.840e+01
5.425e+00,1.327e+01
6.409e+00,1.049e+01
7.605e+00,7.748e+00
9.024e+00,5.175e+00
1.071e+01,3.824e+00
1.283e+01,2.892e+00
1.536e+01,1.887e+00
1.852e+01,1.274e+00
2.246e+01,8.636e-01
2.709e+01,5.632e-01
3.267e+01,3.686e-01
3.917e+01,2.300e-01
4.995e+01,1.238e-01
6.074e+01,7.477e-02
8.284e+01,3.385e-02
1.006e+02,2.144e-02
1.261e+02,1.176e-02
1.500e+02,7.345e-03
2.008e+02,3.172e-03
2.421e+02,1.973e-03
2.920e+02,1.173e-03
3.686e+02,6.852e-04
4.733e+02,3.219e-04
6.044e+02,1.757e-04
8.388e+02,7.164e-05
1.141e+03,3.162e-05
1.496e+03,1.842e-05
1.924e+03,1.286e-05
2.830e+03,4.012e-06
4.651e+03,1.106e-06
7.679e+03,4.298e-07
1.932e+04,1.444e-08
3.045e+04,3.549e-09
4.581e+04,1.139e-09
7.213e+04,3.287e-10
1.364e+05,6.374e-11
3.396e+05,6.457e-12
